        id,         y,                           x1,          x2,          x3,          x4,       x5,          x6,             x7,              x8,          x9,         x10
       104,       Bob,                     -1.53361,     1.82089,    -0.12187,     0.17077,     True,           A,       -1.14047,        -1.65018,    -0.41500,    -0.94195
       105,      Jörg,                     -0.95804,    -0.71647,    -0.75861,     0.97184,    False,           F,        0.40132,        -0.30956,    -1.64058,    -0.06512
       106,      Jörg,                      2.13452,     0.14063,    -1.33693,     1.25344,    False,           F,        1.65300,        -0.88736,    -1.19283,     1.63847
       107,       Bob,                      0.10647,     1.47015,    -0.12488,     0.24925,     True,           A,       -1.89785,        -0.92114,    -2.63220,     0.76252
       108,    Atsuto,                      0.85213,    -0.18194,    -0.07131,     0.16277,    False,           F,        0.81789,         0.35416,    -0.59932,     0.70878
       109,      Jörg,                      0.50751,     0.50290,    -0.78252,     0.87596,    False,           E,       -0.44242,        -1.49445,    -1.70929,     3.28643
       110,    Atsuto,                     -1.03530,    -0.47275,    -0.66721,     0.72481,    False,           F,        2.59406,        -1.15396,     4.30290,     2.31890
       111,       Bob,                     -0.73307,     1.26175,    -0.73108,     0.74802,     True,           A,       -0.72672,        -1.88003,    -1.58124,     0.54080
       112,       Bob,                      2.43565,    -1.90543,     0.07999,     0.17337,    False,           F,       -0.36642,        -1.81633,    -1.83803,     1.85500
       113,       Bob,                      1.62353,     0.32019,    -0.83440,     0.81397,    False,           F,       -1.87779,        -0.08786,    -1.56024,     2.23459
       114,    Atsuto,                      2.77110,    -2.56316,    -0.71854,     0.75166,    False,           F,        0.23942,        -0.57702,    -2.30471,     2.23527
       115,      Jörg,                      0.70599,    -0.66060,    -0.86681,     1.03628,    False,           F,       -0.05034,        -1.33265,    -0.38137,     2.07529
       116,      Jörg,                     -1.30314,     0.13743,    -0.51274,     0.49653,    False,           F,        0.88530,        -0.85543,     1.58423,     3.18432
       117,       Bob,                     -2.40558,    -0.26043,     0.08900,     0.15253,    False,           F,       -0.50814,        -0.82693,    -1.95672,    -0.39333
       118,    Atsuto,                      1.04046,    -0.42277,    -0.64347,     0.69215,    False,           F,       -0.81348,         1.55478,     2.59975,    -0.46943
       119,    Atsuto,                      1.30798,     2.30008,    -1.07008,     1.07184,     True,           A,        2.33382,         1.09598,    -0.98314,     1.80070
       120,       Bob,                      0.52144,    -0.05069,    -0.17271,     0.21514,    False,           F,       -0.87133,        -1.15732,    -1.83103,     0.61405
       121,       Bob,                      1.30161,    -0.16616,     0.11329,     0.18974,    False,           F,       -1.12386,        -0.49982,    -0.70364,     2.26865
       122,    Atsuto,                      0.68201,     0.63287,    -0.95290,     1.04614,    False,           C,       -1.66068,         0.73460,     3.20031,     1.77308
       123,       Bob,                     -0.57947,     0.74825,    -0.22103,     0.48198,     True,           A,       -1.06844,        -0.41505,    -2.79966,    -0.43659
       124,    Atsuto,                     -1.31168,    -0.03001,     0.10656,     0.07948,    False,           F,        0.69121,        -0.08407,     1.46610,     2.94963
       125,    Atsuto,                     -1.67600,     1.87971,    -0.75076,     0.77282,     True,           A,       -0.36586,        -0.26930,     1.93703,     1.53362
       126,      Jörg,                      0.53665,     0.37173,    -0.84639,     0.79622,    False,           F,        0.95227,         0.84312,     0.77484,     1.29780
       127,    Atsuto,                     -3.61160,     2.22170,    -1.32821,     1.27707,     True,           A,        2.40347,        -0.30133,     2.76667,     5.14711
       128,      Jörg,                     -2.12081,    -0.79959,    -0.68744,     0.63536,    False,           F,        2.10277,         1.47837,     1.06187,     3.46611
       129,       Bob,                     -1.61636,    -0.28855,    -0.53562,     0.72440,    False,           F,       -0.61028,         0.41356,    -1.55163,    -0.34291
       130,       Bob,                     -1.36850,    -0.53788,    -0.35407,     0.53120,    False,           F,       -0.83883,        -0.39466,     0.40241,     2.29541
       131,       Bob,                      0.59796,     0.05976,    -0.70722,     0.75110,    False,           F,       -0.84222,        -0.97106,    -1.77731,     1.43308
       132,      Jörg,                     -0.23772,    -1.67824,    -0.43853,     0.41933,    False,           F,        0.69026,        -0.46121,    -1.55473,     2.19298
       133,    Atsuto,                     -0.94899,     2.09022,    -0.00430,     0.09025,     True,           A,        2.85598,         3.45122,    -2.01188,     1.89755
       134,    Atsuto,                      0.24179,     0.41710,     0.09840,     0.02050,     True,           E,        1.04547,         0.51417,    -1.06478,    -1.11039
       135,       Bob,                     -0.52636,    -0.26378,    -0.09144,     0.10429,        ?,           F,       -0.15787,         0.19899,    -2.71152,    -0.12257
       136,       Bob,                      2.44172,     0.20055,     0.01943,     0.06980,     True,           F,        0.18374,        -0.34557,    -2.54426,    -2.69703
       137,      Jörg,                      1.49514,     0.11750,    -0.31008,     0.44173,    False,           F,        1.12710,         0.25139,     1.63759,    -0.13249
       138,    Atsuto,                     -0.71169,     0.54555,    -1.16394,     1.17057,    False,           E,        1.50678,         0.46255,    -1.27455,     0.48545
       139,      Jörg,                     -0.58334,     0.73154,    -0.90388,     0.87719,    False,           C,        0.89197,         1.72303,     1.95179,    -1.61614
       140,    Atsuto,                     -0.72923,    -0.18562,    -0.80953,     0.88726,    False,           F,       -0.33483,        -2.55386,    -2.96845,     1.75573
       141,       Bob,                     -1.77377,     0.52621,     0.26370,    -0.02745,     True,           C,       -1.36674,        -1.43386,    -4.87915,     0.38338
       142,       Bob,                      0.16517,    -0.05494,    -0.47168,     0.48782,    False,           F,       -1.35147,        -1.21671,    -1.70757,     1.24593
       143,    Atsuto,                      0.16488,     0.34402,    -0.94593,     1.02225,    False,          Fx,        3.70498,         0.44964,     1.44700,     2.29786
       144,       Bob,                     -0.01109,     0.55893,    -0.35381,     0.45448,     True,           D,       -1.94106,        -0.94553,     0.65549,     1.18644
       145,       Bob,                     -0.09096,    -0.86470,    -0.80468,     0.82801,    False,           F,       -0.01408,        -0.91172,    -0.96853,    -0.15426
       146,      Jörg,                      0.67188,    -0.63531,    -0.62961,     0.73253,    False,           F,        1.70050,         0.36769,    -1.18208,     2.87902
       147,       Bob,                     -1.85398,     0.45068,    -0.06403,     0.36291,     True,           C,       -2.20696,        -0.94902,    -2.25776,     2.49655
       148,    Atsuto,                     -1.17364,    -0.65217,    -1.08268,     1.14310,    False,           F,       -0.83747,         1.43456,    -1.08480,    -0.56844
       149,    Atsuto,                     -1.42463,    -0.50345,     0.10464,     0.00345,    False,           F,       -0.08828,        -1.60460,    -1.28738,     1.32346
       150,      Jörg,                     -2.06238,     1.05831,    -0.79044,     1.01343,     True,           A,       -0.81754,         0.25094,    -0.75618,     4.13421
       151,    Atsuto,                     -1.96722,     1.34477,    -0.95343,     0.97078,     True,           A,        1.39762,         1.06460,     1.00123,     0.70043
       152,      Jörg,                     -1.11699,     2.58115,    -1.41217,     1.37897,     True,           A,        0.26213,         1.25617,    -1.14799,     3.12078
       153,       Bob,                     -0.09561,     0.73444,    -0.57187,     0.68937,     True,           B,       -0.14413,        -0.79908,    -1.74555,     1.37255
       154,    Atsuto,                      0.32830,     0.82568,    -1.15233,     1.11833,    False,           C,        1.84909,         2.65744,    -2.37169,     2.41555
       155,       Bob,                     -0.96695,     0.96483,    -0.57951,     0.57943,     True,           A,       -1.38425,        -1.21262,    -3.48371,     2.00588
       156,    Atsuto,                      2.58891,    -0.98354,    -1.15155,     1.16326,    False,           F,        0.59063,         0.99649,    -2.68876,     1.92174
       157,    Atsuto,                     -0.12356,     0.43666,    -0.31815,     0.46372,    False,           E,       -0.99847,         2.83507,    -0.42417,     0.68685
       158,       Bob,                      0.06540,    -1.80573,    -0.41536,     0.62300,    False,           F,       -1.40234,        -1.21105,    -1.18093,    -0.37109
       159,    Atsuto,                     -3.17997,     1.36925,    -0.69182,     0.73341,     True,           A,        2.25455,        -1.31427,    -0.07174,     0.51715
       160,    Atsuto,                      1.65699,    -0.85242,     0.06045,     0.12182,    False,           F,        1.39934,        -0.27295,    -1.91374,     2.63020
       161,       Bob,                      0.14277,     0.90641,    -0.80030,     0.78563,     True,           B,       -0.93602,        -1.59318,     0.13438,     1.68329
       162,       Bob,                      0.14963,    -0.06721,    -0.51381,     0.66562,    False,           F,       -0.49250,        -0.98673,    -4.83275,     0.98140
       163,       Bob,                      0.75434,     0.65646,     0.04652,     0.21936,     True,           A,       -0.97240,        -1.33729,    -1.89976,     2.51465
       164,       Bob,                      0.89150,     0.07155,    -0.76603,     0.73672,    False,           F,       -0.46019,        -0.58839,    -2.77696,     1.05189
       165,    Atsuto,                      0.34687,     0.84285,    -0.26360,     0.42334,     True,           A,        0.19812,         0.59037,    -1.34619,     0.60170
       166,      Jörg,                     -1.69378,    -0.27272,    -0.27248,     0.37665,    False,           F,        0.78019,        -0.21396,     3.35983,    -0.37816
       167,    Atsuto,                     -1.89270,     1.63806,    -0.10652,     0.23594,     True,           A,        1.01158,         2.11099,     0.56865,     3.11201
       168,      Jörg,                     -1.29325,     0.07035,    -1.09274,     1.17053,    False,           F,        1.40826,         1.60640,    -0.37461,     0.80759
       169,       Bob,                     -1.06645,     0.67114,    -0.32162,     0.52573,     True,           B,       -0.33376,        -0.34882,    -1.05735,     1.47898
       170,       Bob,                      1.29404,    -0.57929,     0.20792,     0.04899,    False,           F,       -1.61603,        -0.74912,    -1.20872,    -0.07183
       171,       Bob,                     -1.02617,    -0.20982,    -0.33859,     0.45576,    False,           F,       -0.86218,        -1.78112,    -0.30486,     1.10113
       172,    Atsuto,                     -2.07121,    -0.86294,    -0.91027,     0.90506,    False,           F,        0.37889,         3.39465,    -2.90830,    -0.26710
       173,    Atsuto,                      1.10809,     0.12881,    -1.12322,     1.15443,    False,           F,        1.04006,         2.05892,     0.68238,     1.07089
       174,       Bob,                     -0.65307,    -1.62732,    -0.32032,     0.51753,    False,           F,       -0.37502,         0.13927,    -0.46447,     1.14706
       175,    Atsuto,                     -1.61705,     1.86088,    -0.31541,     0.46926,     True,           A,        2.65652,         0.96775,     0.22170,     1.46851
       176,    Atsuto,                      0.10569,     0.70351,    -0.96285,     1.05626,    False,           C,        1.72732,         1.32898,     1.65124,    -1.10025
       177,       Bob,                     -0.30751,    -0.96825,    -0.47446,     0.48192,    False,           F,       -0.13993,        -0.25210,    -0.46435,     1.11571
       178,       Bob,                      0.26171,    -0.07121,     0.12831,     0.15929,    False,           F,       -1.59932,        -1.89523,    -1.80152,     0.13221
       179,    Atsuto,                     -0.54680,     2.18580,    -0.53168,     0.66257,     True,           A,        3.42711,         1.00773,    -0.48743,     0.11110
       180,      Jörg,                     -2.10760,    -0.39271,    -1.18071,     1.33614,    False,           F,        1.16285,        -2.00319,     1.99076,     0.10769
       181,       Bob,                      0.12325,    -0.53740,    -0.33432,     0.58773,    False,           F,       -1.30269,        -0.14908,    -1.89724,     2.65236
       182,       Bob,                     -0.82271,     1.96902,    -0.27841,     0.53528,     True,           A,        0.33127,        -1.27922,    -2.94438,     0.94044
       183,       Bob,                      0.47772,    -0.94012,    -0.67460,     0.73360,    False,           F,       -0.51430,        -1.03190,    -3.80503,    -0.05631
       184,      Jörg,                     -0.87763,     0.98481,    -0.87162,     1.03378,    False,           A,        0.44552,        -0.52554,     2.53048,    -1.23116
       185,       Bob,                     -0.46081,     0.31305,    -0.62281,     0.62812,    False,           F,       -0.17795,        -1.40758,    -2.67358,     1.35402
       186,       Bob,                     -0.24792,    -0.03301,     0.23870,     0.04980,    False,           F,       -0.96125,        -1.35345,    -4.91785,     0.65049
       187,       Bob,                     -1.48338,     0.28140,    -0.60619,     0.65031,    False,           F,       -0.80058,        -1.65413,    -1.99433,     2.21481
       188,       Bob,                     -0.24897,    -2.54942,    -0.03582,     0.19380,    False,           F,       -1.83826,        -0.09058,    -2.23568,     1.31610
       189,       Bob,                     -0.83273,    -0.21387,    -0.67197,     0.82233,    False,           F,       -0.39161,        -0.98408,     0.49390,     1.33001
       190,       Bob,                     -1.34995,    -0.03158,    -0.14550,     0.37833,    False,           F,        0.22440,        -1.66514,    -2.92513,     1.05261
       191,      Jörg,                      0.08497,     0.56955,    -0.76533,     0.83361,    False,           D,       -0.04103,         0.64409,    -0.39502,     2.65640
       192,       Bob,                      1.38424,    -1.13546,    -0.00137,     0.17181,    False,           F,       -0.60917,        -0.13438,     0.44749,     0.34612
       193,       Bob,                      1.23509,    -0.51016,    -0.17731,     0.38253,    False,           F,       -1.82061,        -1.57098,    -3.57007,     2.49115
       194,       Bob,                      0.38083,    -0.39322,    -0.65774,     0.64452,    False,           F,       -2.56074,        -1.51326,    -2.68860,    -0.43620
       195,      Jörg,                      2.21357,    -0.99452,    -1.43970,     1.38383,    False,           F,        2.33697,         0.03232,    -1.44612,     2.03399
       196,       Bob,                      1.54483,    -0.05304,    -0.10766,     0.37873,    False,           F,       -1.64756,        -0.48926,    -2.08157,     2.00389
       197,    Atsuto,                      1.03859,     1.02160,    -0.98495,     1.01017,     True,           A,        1.73237,         1.61432,     1.75748,     0.89555
       198,    Atsuto,                     -0.64193,    -1.57923,    -1.30647,     1.26031,    False,           F,       -0.14741,         0.66196,    -1.00072,    -0.26592
       199,       Bob,                      2.11044,    -0.34212,    -0.20988,     0.46136,    False,           F,       -1.24198,        -0.62392,    -0.67279,     3.98031
       200,       Bob,                      0.28395,    -0.65640,    -0.82342,     0.78502,    False,           F,       -0.24641,         0.56150,    -3.00994,     0.31005
       201,    Atsuto,                     -0.40762,    -1.23539,    -1.30818,     1.26232,    False,           F,       -1.46782,         1.80122,     3.44933,     1.79506
       202,       Bob,                     -1.78275,     0.76531,    -0.01977,     0.16517,     True,           A,       -0.61418,        -1.21541,    -2.04292,     2.52205
       203,    Atsuto,                      0.33713,    -0.44676,    -0.61748,     0.65090,    False,           F,        2.05136,        -0.11613,     3.73114,     3.04610
